,meanX,meanY,meanZ,stdX,stdY,class
722,0.5778695259775434,0.622015689100538,-0.04931941462953867,0.047041072223776896,0.11084715698189924,0
723,0.5918746278399513,0.6176258339768365,-0.0466068272223216,0.04465981153240593,0.1075580915116199,0
724,0.6042400882357642,0.6097600942566281,-0.045822590454142,0.04446944249702134,0.10277994595492575,0
725,0.6188589419637408,0.6025439358892895,-0.04194667303719489,0.042557606163333504,0.10180439467288772,0
726,0.6311972794078645,0.592362296013605,-0.0409668645693015,0.04249549295238677,0.0999614311443286,0
727,0.6455327272415161,0.5828082717600322,-0.03553360222329242,0.04189054166120332,0.0997453319238094,0
728,0.6624548804192316,0.5720514513197399,-0.037039766357447386,0.04245421630279371,0.09986370256195691,0
729,0.6806820801326207,0.559677989709945,-0.03901445689167855,0.043196743111492894,0.1018916755494571,0
730,0.7047762643723261,0.5472403055145627,-0.04279677738814146,0.04381245156805419,0.1032578025707272,0
731,0.7306909362475077,0.5350523917447954,-0.04484137363684242,0.04433638163696575,0.10462395806145361,0
732,0.7547227995736259,0.5241532453468868,-0.049039761592431674,0.04429347079098235,0.10663140745926501,0
733,0.7794584972517831,0.509276936451594,-0.039931831645065495,0.04571745461100067,0.10835117326101369,0
734,0.7989246958778018,0.502687760761806,-0.04747571102853489,0.045883579842257376,0.10807879561831375,0
735,0.8240736013367063,0.4897966881593068,-0.04256484542904219,0.04623838118681423,0.10921503175847967,0
736,0.8335969533239093,0.48748724233536495,-0.0396627821174176,0.0461717644202713,0.108284075814114,0
737,0.839935302734375,0.48204214516140165,-0.04649525818715541,0.04633952634838931,0.11007782604656641,0
738,0.8424210520017714,0.47087511278334115,-0.04686285384972365,0.04659587737728135,0.1098531716298329,0
739,0.8438835115659804,0.4540784089338212,-0.044029532934739525,0.0476529293272806,0.11296348336855401,0
740,0.8480251999128432,0.43370858544395086,-0.045172229396342634,0.049053876454290365,0.11674517113728619,0
741,0.8493176755451021,0.4083534244980131,-0.043724418235896935,0.04975661259309844,0.11882455408629246,0
742,0.8507891240574065,0.3792203565438588,-0.04512574945048059,0.051946674200342824,0.12477242419701458,0
743,0.8535536016736712,0.35330031173569815,-0.0446790692946549,0.05547450385612546,0.13008032763471178,0
744,0.8575924095653352,0.3326832205057144,-0.051877580553458896,0.05835236381584212,0.13857378406042495,0
745,0.8618545305161249,0.3088780180329368,-0.046743747444336126,0.061974149768670335,0.14477451347071896,0
746,0.8652089011101496,0.2867726853915623,-0.06187504269536624,0.06494412275982944,0.15417222384471527,0
747,0.87005272933415,0.2589176793893178,-0.05660583561571218,0.06843186810040931,0.16600047031789816,0
748,0.8731444847016108,0.24226524006752742,-0.06801052051144017,0.07133846545352071,0.17708267107794787,0
749,0.8808008914902097,0.21670166296618326,-0.05320783065620552,0.07502866082109629,0.1810235637424667,0
750,0.8832070117905026,0.1926609334491548,-0.06393002738449916,0.07965031882813409,0.19364713132097056,0
751,0.8848616140229362,0.1631433204525993,-0.06116550805471258,0.08269270839716689,0.20469580000779744,0
752,0.8888856938907078,0.14607090254624686,-0.0810012461999099,0.08845962632178656,0.2138778352512503,0
753,0.8839082803045001,0.12851829188210623,-0.09269320635044927,0.0928890976980207,0.22822387539497885,0
754,0.8794565484637306,0.13663572747082936,-0.1049096352931527,0.09446940130843864,0.22566906137757664,0
755,0.8602758816310337,0.13889525759787785,-0.11641469934595791,0.0910931649166874,0.22667556940857367,0
756,0.8419681730724516,0.15779430383727663,-0.102895088834406,0.09183453939763961,0.2166074583513585,0
757,0.8148537079493204,0.16777087251345316,-0.11860514622363325,0.09156178668370504,0.20727294999974777,0
758,0.7799838951655796,0.1915207781961986,-0.1052066418109648,0.08596085322642791,0.19584289154167914,0
